Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
109,Scarface,https://www.imdb.com/title/tt0086250/,159079,186213,210140,102508,34187,12960,6182,3595,2308,5072,492720,57533,8.3,8.0
110,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,210337,232143,269714,134029,44163,16335,6743,3906,2790,8890,584696,90249,8.3,8.3
111,Das Boot,https://www.imdb.com/title/tt0082096/,51575,63497,61103,29002,9843,4399,2171,1205,920,3012,156684,14330,8.4,8.0
112,Taxi Driver,https://www.imdb.com/title/tt0075314/,147609,178832,197140,107109,39049,15639,6926,3992,2750,5291,459082,66512,8.3,8.0
113,The Sting,https://www.imdb.com/title/tt0070735/,44345,63267,73615,35159,10524,4120,1958,959,710,1920,155344,22327,8.3,8.2
114,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,183708,187607,179162,96627,39375,18960,10360,7001,5576,12784,462003,94406,8.3,8.1
115,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,179584,127488,120026,70620,34761,19052,10856,7897,6101,12319,382409,49893,8.3,7.9
116,For a Few Dollars More,https://www.imdb.com/title/tt0059578/,37499,60050,78156,33729,9120,3385,1534,765,552,1646,159306,11418,8.3,7.9
117,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,68041,59550,63557,35759,14634,6794,3464,1992,1595,6450,172019,23381,8.3,8.0
118,The Apartment,https://www.imdb.com/title/tt0053604/,31342,38751,47961,24276,8152,3465,1740,842,727,2068,96871,23096,8.3,8.1
119,North by Northwest,https://www.imdb.com/title/tt0053125/,59744,75115,85464,43714,14170,5707,2633,1416,1108,2937,185491,32193,8.3,8.2
120,Vertigo,https://www.imdb.com/title/tt0052357/,79475,86259,97765,53546,18867,7833,3481,1923,1281,3041,216103,46005,8.3,8.2
121,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,54156,48275,55031,30824,11996,5360,2629,1369,1000,2835,113675,44870,8.2,8.5
122,Ikiru,https://www.imdb.com/title/tt0044741/,17170,14633,16063,8261,3138,1699,860,547,579,2595,42679,5468,8.3,8.1
123,Bicycle Thieves,https://www.imdb.com/title/tt0040522/,31904,34865,38244,20007,7355,3598,1792,957,809,2247,90642,16178,8.3,8.2
124,Double Indemnity,https://www.imdb.com/title/tt0036775/,27530,33836,41023,20966,7145,3312,1827,863,787,2479,87710,16831,8.3,8.1
125,Citizen Kane,https://www.imdb.com/title/tt0033467/,112113,83871,86754,50780,22895,12039,6209,4045,3152,7995,245948,42529,8.3,8.1
126,M,https://www.imdb.com/title/tt0022100/,31249,34658,36300,18816,7268,3629,1944,1083,883,3683,90122,15268,8.3,8.2
127,Metropolis,https://www.imdb.com/title/tt0017136/,37566,36165,39393,21398,8832,4588,2437,1379,1092,3465,97999,19599,8.3,8.3
128,The Kid,https://www.imdb.com/title/tt0012349/,23563,25912,32950,15273,5169,2462,1286,524,483,1651,69111,12312,8.3,8.4
131,Green Book,https://www.imdb.com/title/tt6966692/,60525,98731,113703,48049,13089,4371,1669,825,608,1787,188330,46189,8.2,8.4
132,A Silent Voice,https://www.imdb.com/title/tt5323662/,10643,9860,10539,6012,2342,860,365,186,129,298,20086,5142,8.1,8.0
133,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,55916,114813,139933,66576,19772,6690,3062,1930,1385,2612,234279,57646,8.1,8.2
136,Klaus,https://www.imdb.com/title/tt4729430/,16215,18756,23074,12025,3325,942,302,158,127,365,40465,11109,8.1,8.4
139,Tangerines,https://www.imdb.com/title/tt2991224/,11410,7945,10231,5207,1404,509,186,118,121,337,22901,6436,8.1,8.6
144,The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/,34262,50429,58762,28153,8817,3296,1325,800,599,1708,122250,27809,8.2,8.2
145,Warrior,https://www.imdb.com/title/tt1291584/,84255,111018,130304,66545,20637,6971,2758,1449,1255,2844,304931,35062,8.2,8.2
146,Shutter Island,https://www.imdb.com/title/tt1130884/,192298,292856,351718,164858,55329,19002,8531,4650,3195,5327,666403,160466,8.1,8.2
147,Up,https://www.imdb.com/title/tt1049413/,180094,236736,271973,142657,47307,16265,6652,3412,2362,5177,523702,163193,8.2,8.4
148,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,215138,304112,336161,169922,59567,23514,11016,7312,5415,11364,672794,149138,8.2,7.8
150,There Will Be Blood,https://www.imdb.com/title/tt0469494/,110357,118258,133168,76219,31258,13374,6674,4203,3164,7058,351864,43576,8.2,7.9
151,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/,126089,153205,165001,92163,35507,14256,6829,4110,2850,7544,377135,102029,8.2,8.3
152,V for Vendetta,https://www.imdb.com/title/tt0434409/,226959,250833,271544,151061,57389,22553,10158,6053,4329,9952,650304,136675,8.2,8.2
155,Batman Begins,https://www.imdb.com/title/tt0372784/,238271,332444,418836,192672,54116,18619,7976,4259,3177,9712,827554,132227,8.3,8.0
157,Downfall,https://www.imdb.com/title/tt0363163/,55951,86729,106520,48940,13931,5158,2363,1135,839,3459,229384,28386,8.2,8.1
158,Howl's Moving Castle,https://www.imdb.com/title/tt0347149/,72664,77624,94026,47450,15298,5401,2233,1330,975,2903,169662,68082,8.1,8.6
159,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,144262,219074,277292,124697,37064,12566,5161,2875,1854,3834,496173,126378,8.2,8.3
161,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,91221,136140,173691,80869,23658,8148,3487,1990,1715,4175,367134,45060,8.2,8.1
162,L.A. Confidential,https://www.imdb.com/title/tt0119488/,86141,141974,168006,80891,24998,9150,3996,2113,1421,3383,352502,48135,8.3,8.0
163,The Bandit,https://www.imdb.com/title/tt0116231/,24171,13060,11649,6253,2362,1220,584,466,405,1823,40219,5320,8.2,8.3
164,Heat,https://www.imdb.com/title/tt0113277/,112735,142283,171838,86950,28187,10164,4055,2146,1410,3366,397049,34762,8.3,7.8
165,Casino,https://www.imdb.com/title/tt0112641/,76936,114204,152314,72327,21484,7586,2935,1695,1167,2943,313185,32063,8.2,7.9
167,Unforgiven,https://www.imdb.com/title/tt0105695/,66355,93085,114326,58783,19079,6966,3302,1623,1203,3084,259046,21860,8.2,7.8
168,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,123787,167175,219108,109696,33310,11784,4822,2513,1710,3823,436949,67645,8.3,8.1
169,My Neighbour Totoro,https://www.imdb.com/title/tt0096283/,61850,64567,81938,44104,14581,5109,2042,1106,883,2878,148432,55492,8.1,8.4
170,Die Hard,https://www.imdb.com/title/tt0095016/,137769,182269,250733,130952,39334,13416,5440,2822,1853,4093,515413,69312,8.3,7.9
171,Ran,https://www.imdb.com/title/tt0089881/,25674,25960,28080,14908,5792,2906,1374,966,748,2679,73819,7312,8.2,8.0
172,Raging Bull,https://www.imdb.com/title/tt0081398/,62788,73825,92825,49957,17659,7112,3527,1922,1374,3261,218559,19322,8.2,7.7
173,Stalker,https://www.imdb.com/title/tt0079944/,33928,22416,23803,14172,6517,3690,2053,1499,1240,2923,73977,10516,8.1,8.2
174,The Message,https://www.imdb.com/title/tt0074896/,22042,6030,5752,3414,1838,991,460,326,329,1793,31080,2608,8.2,7.8
176,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,118430,121953,126776,68831,25900,11626,5853,3672,2682,6426,312154,57757,8.2,8.2
177,Chinatown,https://www.imdb.com/title/tt0071315/,54333,68422,86546,48950,16338,5828,2319,1232,848,2455,194364,25286,8.2,7.9
178,The Great Escape,https://www.imdb.com/title/tt0057115/,40181,54976,71313,34639,10260,3490,1336,860,626,2292,150803,15747,8.2,8.1
179,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,64944,70837,80512,42675,14990,6301,2777,1497,1130,3414,169079,47797,8.2,8.4
180,Yojimbo,https://www.imdb.com/title/tt0055630/,21004,27178,31673,14780,5146,2551,1391,721,747,2641,72908,7169,8.3,7.9
181,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,12398,16532,20947,10118,3246,1423,547,389,314,1572,44048,6780,8.2,8.3
182,Some Like It Hot,https://www.imdb.com/title/tt0053291/,52921,53797,66863,38015,13793,5541,2534,1376,1058,2489,131642,47481,8.2,8.4
183,Wild Strawberries,https://www.imdb.com/title/tt0050986/,20382,20438,25815,14002,5453,2460,1058,712,678,2029,58964,11056,8.2,8.2
184,The Seventh Seal,https://www.imdb.com/title/tt0050976/,39402,34802,40237,23284,9432,4686,2113,1335,1136,3211,104460,17132,8.1,8.2
185,Rififi,https://www.imdb.com/title/tt0048021/,4883,6372,8069,3757,1345,556,250,165,133,1130,19668,2065,8.2,7.9
186,Dial M for Murder,https://www.imdb.com/title/tt0046912/,21023,37063,57107,25564,6899,2513,980,648,522,1287,96113,19949,8.2,8.2
187,Tokyo Story,https://www.imdb.com/title/tt0046438/,12473,9763,13278,7457,2927,1544,729,504,424,1525,31477,4850,8.2,8.1
188,Rashomon,https://www.imdb.com/title/tt0042876/,33130,35215,38758,21829,8138,4065,2115,1107,1001,3106,97660,13689,8.2,8.1
189,All About Eve,https://www.imdb.com/title/tt0042192/,27276,26105,31441,17364,6590,3443,1752,961,698,2180,64770,22703,8.1,8.4
190,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,21466,25668,32717,17692,6415,2890,1499,765,641,1918,74093,8973,8.2,7.9
191,To Be or Not to Be,https://www.imdb.com/title/tt0035446/,6170,6515,7843,3758,1331,638,287,176,141,796,18397,3297,8.2,8.2
192,The Gold Rush,https://www.imdb.com/title/tt0015864/,20023,21200,30059,15303,5193,2240,883,609,442,1737,64250,9155,8.2,8.1
193,Sherlock Jr.,https://www.imdb.com/title/tt0015324/,8094,8454,11643,5960,2221,1050,447,328,382,1190,26250,3880,8.2,8.1
194,Portrait of a Lady on Fire,https://www.imdb.com/title/tt8613070/,10562,12406,13533,7807,3130,1249,612,326,260,796,25419,8754,8.0,8.2
